id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
492699,AFG-2023-3-951-96,2023,true,Clear,3,130,484,Government of Afghanistan - Civilians,130,951,Government of Afghanistan - Civilians,130,130,Government of Afghanistan,9999,1,Civilians,1,"""Hasht e Subh Daily,2023-10-03,Brutal Taliban Attack Claims the Life of Former Blind Policeman in Paktika Province: A Heartbreaking Tale of Tragedy and Resilience""",Hasht e Subh Daily,2023-10-03,Brutal Taliban Attack Claims the Life of Former Blind Policeman in Paktika Province: A Heartbreaking Tale of Tragedy and Resilience,Local sources in Paktika; witnesses,1,Jalalzai village,"village of Jalal-Zai, Jani Khel district, Paktika",Paktika province,Jani Khel district (Paktika),32.748040,68.398770,POINT (68.39877 32.74804),176897,Afghanistan,700,Asia,1,1,2023-10-02 00:00:00.000,2023-10-02 00:00:00.000,0,0,1,0,1,1,1,700,
495225,AFG-2023-3-951-100,2023,true,Clear,3,130,484,Government of Afghanistan - Civilians,130,951,Government of Afghanistan - Civilians,130,130,Government of Afghanistan,9999,1,Civilians,1,"""Hasht e Subh Daily,2023-10-16,Taliban Shoot Young Man Dead in Kabul""",Hasht e Subh Daily,2023-10-16,Taliban Shoot Young Man Dead in Kabul,Local sources,1,Kabul city,Qala-e Fathullah area of Kabul city.,Kabul province,Kabul district,34.531094,69.162796,POINT (69.162796 34.531094),179779,Afghanistan,700,Asia,1,1,2023-10-14 00:00:00.000,2023-10-14 00:00:00.000,0,0,0,0,0,1,0,700,
495860,AFG-2023-3-951-101,2023,true,Clear,3,130,484,Government of Afghanistan - Civilians,130,951,Government of Afghanistan - Civilians,130,130,Government of Afghanistan,9999,1,Civilians,2,"""Afghan Analyst on Twitter (X),2023-10-25,Several sources have reported that four individuals, including Shamsur Rahman from Panjshir, were killed by the Taliban, and three others were arrested in a checkpoint in the Dar-ul-Aman area of Kabul city"";""Hasht e Subh Daily,2023-10-25,Taliban Gun Down Four Youths in Kabul Streets""",Afghan Analyst on Twitter (X);Hasht e Subh Daily,2023-10-25;2023-10-25,"Several sources have reported that four individuals, including Shamsur Rahman from Panjshir, were killed by the Taliban, and three others were arrested in a checkpoint in the Dar-ul-Aman area of Kabul city;Taliban Gun Down Four Youths in Kabul Streets",Local sources; Witnesses,1,Kabul city,Darulaman area of Kabul city.,Kabul province,Kabul district,34.531094,69.162796,POINT (69.162796 34.531094),179779,Afghanistan,700,Asia,1,1,2023-10-25 00:00:00.000,2023-10-25 00:00:00.000,0,0,4,0,4,4,0,700,
494209,AFG-2023-3-973-345,2023,true,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,12,"""Tolo News,2023-10-14,In the reaction to Friday's attack in Baghlan, Richard Bennett, UN Special Rapporteur, condemned the attack ""killing dozens of Shia worshippers at a mosque in Pul-e Khumri Baghlan and claimed by ISKP. "";""Afghan Analyst on Twitter (X),2023-10-13,The Islamic State group, through Amaq News Agency, has claimed responsibility for today's suicide attack inside a mosque in Pul-e Khumri city in Baghlan province."";""Afghan Analyst on Twitter (X),2023-10-13,Preliminary reports indicate that approximately a dozen worshipers lost their lives, and numerous others sustained injuries in an afternoon explosion at a Shia mosque in Pul-e Khumri city, the capital of Baghlan province today."";""Ariana News,2023-10-13,7 killed, 15 injured in Baghlan mosque suicide blast"";""Tolo News,2023-10-13,UNAMA expressed ""deep sorrow"" and offered condolences for all those killed and wounded in this afternoon’s explosion in a Shi’a mosque in Pul-e Khumri."";""Tolo News,2023-10-13,The director of Baghlan Information and Culture department, Mustafa Hashemi, told TOLOnews that in the suicide attack, seven people were killed and 17 were injured."";""Tolo News,2023-10-14,Daesh claimed responsibility for an attack on a Shia mosque in Baghlan province in northern Afghanistan on Friday, according to Daesh's Telegram channel, Reuters reported."";""Khaama Press,2023-10-16,Afghan Shi’a community has endured violent extremism: US Envoy"";""Khaama Press,2023-10-15,Explosion near Takhar Governor’s office in Taleqan, Afghanistan"";""Hasht e Subh Daily,2023-11-02,Explosion in Baghlan Province Center: Four Individuals, Including Two Taliban Fighters, Injured"";""International Crisis Group,2023-11-01,CrisisWatch Afghanistan OCTOBER 2023"";""Agence France Presse,2023-10-13,7 killed in suicide attack on Afghan Shiite mosque: official""",Tolo News;Afghan Analyst on Twitter (X);Afghan Analyst on Twitter (X);Ariana News;Tolo News;Tolo News;Tolo News;Khaama Press;Khaama Press;Hasht e Subh Daily;International Crisis Group;Agence France Presse,2023-10-14;2023-10-13;2023-10-13;2023-10-13;2023-10-13;2023-10-13;2023-10-14;2023-10-16;2023-10-15;2023-11-02;2023-11-01;2023-10-13,"In the reaction to Friday's attack in Baghlan, Richard Bennett, UN Special Rapporteur, condemned the attack ""killing dozens of Shia worshippers at a mosque in Pul-e Khumri Baghlan and claimed by ISKP. ;The Islamic State group, through Amaq News Agency, has claimed responsibility for today's suicide attack inside a mosque in Pul-e Khumri city in Baghlan province.;Preliminary reports indicate that approximately a dozen worshipers lost their lives, and numerous others sustained injuries in an afternoon explosion at a Shia mosque in Pul-e Khumri city, the capital of Baghlan province today.;7 killed, 15 injured in Baghlan mosque suicide blast;UNAMA expressed ""deep sorrow"" and offered condolences for all those killed and wounded in this afternoon’s explosion in a Shi’a mosque in Pul-e Khumri.;The director of Baghlan Information and Culture department, Mustafa Hashemi, told TOLOnews that in the suicide attack, seven people were killed and 17 were injured.;Daesh claimed responsibility for an attack on a Shia mosque in Baghlan province in northern Afghanistan on Friday, according to Daesh's Telegram channel, Reuters reported.;Afghan Shi’a community has endured violent extremism: US Envoy;Explosion near Takhar Governor’s office in Taleqan, Afghanistan;Explosion in Baghlan Province Center: Four Individuals, Including Two Taliban Fighters, Injured;CrisisWatch Afghanistan OCTOBER 2023;7 killed in suicide attack on Afghan Shiite mosque: official","US Special Envoy Rina Amiri; Richard Bennett, UN Special Rapporteur; IS; director of Baghlan Information and Culture department, Mustafa Hashemi; A source at Baghlan Provincial Hospital; International Crisis Group",1,Puli Khumri town,"Imam Zaman Mosque, Pule Khumri",Baghlan province,Puli Khumri district,35.944583,68.715122,POINT (68.715122 35.944583),181218,Afghanistan,700,Asia,1,1,2023-10-13 00:00:00.000,2023-10-13 00:00:00.000,0,0,19,0,19,30,7,,
496896,AFG-2023-3-973-364,2023,true,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,8,"""Afghan Analyst on Twitter (X),2023-10-28,The ISKP group has claimed responsibility for the Thursday evening's explosion in Kabul city."";""Afghan Analyst on Twitter (X),2023-10-26,The Taliban's Kabul Police Spokesman,  @khalidzadran01 , confirmed to the media that two people were killed, and nine more were wounded in today's explosion in Kabul city."";""Tolo News,2023-10-28,Associated Press has reported that Daesh took responsibility for the explosion on Thursday in a sports club in PD18 of Kabul."";""Ariana News,2023-10-27,Death toll rises to four in Kabul blast, seven injured"";""Kabul Now,2023-10-26,Explosion in Kabul Gym Kills At Least Six"";""Khaama Press,2023-10-28,ISIS claims responsibility for attack on Sports Club in western Kabul"";""Hasht e Subh Daily,2023-10-27,ISIS Claims Responsibility for Kabul Dasht-e Barchi Sports Club Explosion"";""Agence France Presse,2023-10-28,Islamic State group claims deadly blast in Kabul""",Afghan Analyst on Twitter (X);Afghan Analyst on Twitter (X);Tolo News;Ariana News;Kabul Now;Khaama Press;Hasht e Subh Daily;Agence France Presse,2023-10-28;2023-10-26;2023-10-28;2023-10-27;2023-10-26;2023-10-28;2023-10-27;2023-10-28,"The ISKP group has claimed responsibility for the Thursday evening's explosion in Kabul city.;The Taliban's Kabul Police Spokesman,  @khalidzadran01 , confirmed to the media that two people were killed, and nine more were wounded in today's explosion in Kabul city.;Associated Press has reported that Daesh took responsibility for the explosion on Thursday in a sports club in PD18 of Kabul.;Death toll rises to four in Kabul blast, seven injured;Explosion in Kabul Gym Kills At Least Six;ISIS claims responsibility for attack on Sports Club in western Kabul;ISIS Claims Responsibility for Kabul Dasht-e Barchi Sports Club Explosion;Islamic State group claims deadly blast in Kabul","IS; Taliban's Kabul Police Spokesman; Sultan Ali Amiri, the club’s trainer; local sources",1,Kabul city,Dasht-e Barchi neighborhood of Kabul,Kabul province,Kabul district,34.531094,69.162796,POINT (69.162796 34.531094),179779,Afghanistan,700,Asia,1,1,2023-10-26 00:00:00.000,2023-10-26 00:00:00.000,0,0,6,0,6,6,4,,
494262,AFG-2023-1-14320-49,2023,true,Clear,1,13637,13637,Afghanistan: Islamic State,14320,14320,Government of Afghanistan - IS,130,130,Government of Afghanistan,234,234,IS,1,"""Afghan Analyst on Twitter (X),2023-10-10,The ISKP group has claimed responsibility for the abduction and subsequent killing of a suspected Taliban spy in the Sawkay district of Kunar province, on Monday, 09 October 2023.""",Afghan Analyst on Twitter (X),2023-10-10,"The ISKP group has claimed responsibility for the abduction and subsequent killing of a suspected Taliban spy in the Sawkay district of Kunar province, on Monday, 09 October 2023.",IS,3,Chawkay district,"Sawkay, Kunar",Kunar province,Chawkay district,34.740750,70.863598,POINT (70.863598 34.74075),179782,Afghanistan,700,Asia,1,1,2023-10-09 00:00:00.000,2023-10-09 00:00:00.000,0,0,0,0,0,1,0,700,
494259,AFG-2023-1-14320-48,2023,true,Clear,1,13637,13637,Afghanistan: Islamic State,14320,14320,Government of Afghanistan - IS,130,130,Government of Afghanistan,234,234,IS,1,"""Afghan Analyst on Twitter (X),2023-10-15,Several pro-Taliban accounts asserted that the Taliban had taken action against two individuals allegedly involved in planning and facilitating the suicide attack that targeted a Shia place of worship last Friday.""",Afghan Analyst on Twitter (X),2023-10-15,Several pro-Taliban accounts asserted that the Taliban had taken action against two individuals allegedly involved in planning and facilitating the suicide attack that targeted a Shia place of worship last Friday.,"Several pro-Taliban accounts asserted that the Taliban had taken action against two individuals allegedly involved in planning and facilitating the suicide attack that targeted a Shia place of worship last Friday. According to these reports, one of the individuals was killed, while the other was arrested. However, as of now, no further information is available.",6,Afghanistan,,,,33.000000,65.000000,POINT (65 33),177611,Afghanistan,700,Asia,1,2,2023-10-13 00:00:00.000,2023-10-15 00:00:00.000,0,0,0,0,0,1,0,700,
496894,AFG-2023-1-16825-55,2023,true,Clear,1,333,333,Afghanistan: Government,16825,16825,Government of Afghanistan - NRF,130,130,Government of Afghanistan,8114,8114,NRF,4,"""Hasht e Subh Daily,2023-10-29,NRF: One NRF Commander and Six Taliban Fighters Killed in Clash in Nuristan Province"";""Afghan Analyst on Twitter (X),2023-10-29,The Taliban claimed responsibility for the killing of an alleged resistance forces commander, Mohibullah, in an ambush in Bajagal valley of Do Aab district in Nuristan"";""Afghan Analyst on Twitter (X),2023-10-29,The  @NRFafg  has confirmed that the late Mohibullah was a commander of the National Resistance Front (NRF)."";""NRF,2023-10-29,Six Taliban terrorists killed in a counterattack by the National Resistance Front of Afghanistan in Nuristan province, and 15 other Taliban along with their commander joined the NRF.""",Hasht e Subh Daily;Afghan Analyst on Twitter (X);Afghan Analyst on Twitter (X);NRF,2023-10-29;2023-10-29;2023-10-29;2023-10-29,"NRF: One NRF Commander and Six Taliban Fighters Killed in Clash in Nuristan Province;The Taliban claimed responsibility for the killing of an alleged resistance forces commander, Mohibullah, in an ambush in Bajagal valley of Do Aab district in Nuristan;The  @NRFafg  has confirmed that the late Mohibullah was a commander of the National Resistance Front (NRF).;Six Taliban terrorists killed in a counterattack by the National Resistance Front of Afghanistan in Nuristan province, and 15 other Taliban along with their commander joined the NRF.",NRF; Taliban,2,Bajahgal village,Bajagal valley of Do Aab district in Nuristan Province,Nuristan province,Du Ab district,35.135020,70.375020,POINT (70.37502 35.13502),180501,Afghanistan,700,Asia,1,1,2023-10-28 00:00:00.000,2023-10-28 00:00:00.000,0,1,0,0,1,7,1,700,
496892,AFG-2023-1-16825-58,2023,true,Clear,1,333,333,Afghanistan: Government,16825,16825,Government of Afghanistan - NRF,130,130,Government of Afghanistan,8114,8114,NRF,6,"""Afghan Analyst on Twitter (X),2023-11-01,Pro-Taliban Al Mersaad media claimed that last night in Balkh Province, a commander of the anti-Taliban resistance group, who had recently returned from abroad, was killed"";""Tolo News,2023-11-01,Local officials in Balkh province said that the head of Daesh for the northern zone and two other members of the group were killed in a clash with security forces in the Chahar Sarka area of Balkh district."";""Hasht e Subh Daily,2023-11-01,Taliban Claim: Three Members of National Resistance Front Allegedly Killed in Balkh Province"";""Afghan Analyst on Twitter (X),2023-11-05,misinformation - the head of Daesh for the northern zone and two other members of the group were killed in a clash with (the Taliban's) security forces."";""Xinhua News Agency,2023-11-01,3 militants suspected of plotting attacks killed in north Afghanistan"";""Afghan Analyst on Twitter (X),2023-11-02,Local sources from Balkh told me that the three individuals killed by the Taliban in Balkh, some days ago, were civilians and not connected to any anti-Taliban group, including the NRF and ISKP.""",Afghan Analyst on Twitter (X);Tolo News;Hasht e Subh Daily;Afghan Analyst on Twitter (X);Xinhua News Agency;Afghan Analyst on Twitter (X),2023-11-01;2023-11-01;2023-11-01;2023-11-05;2023-11-01;2023-11-02,"Pro-Taliban Al Mersaad media claimed that last night in Balkh Province, a commander of the anti-Taliban resistance group, who had recently returned from abroad, was killed;Local officials in Balkh province said that the head of Daesh for the northern zone and two other members of the group were killed in a clash with security forces in the Chahar Sarka area of Balkh district.;Taliban Claim: Three Members of National Resistance Front Allegedly Killed in Balkh Province;misinformation - the head of Daesh for the northern zone and two other members of the group were killed in a clash with (the Taliban's) security forces.;3 militants suspected of plotting attacks killed in north Afghanistan;Local sources from Balkh told me that the three individuals killed by the Taliban in Balkh, some days ago, were civilians and not connected to any anti-Taliban group, including the NRF and ISKP.","Pro-Taliban Al Mersaad media; Attaullah Zaid, spokesman of Balkh governor; local sources",3,Balkh district,Chaharsarka area of Khas Balkh district,Balkh province,Balkh district,36.812611,66.889427,POINT (66.889427 36.812611),182654,Afghanistan,700,Asia,1,1,2023-10-31 00:00:00.000,2023-10-31 00:00:00.000,0,0,0,3,3,3,3,700,
495863,AFG-2023-1-17083-47,2023,true,Clear,1,333,333,Afghanistan: Government,17083,17083,Government of Afghanistan - AFF,130,130,Government of Afghanistan,8343,8343,AFF,3,"""AFF,2023-10-21,Killed and injured five Taliban in Kapisa!"";""Hasht e Subh Daily,2023-10-23,Afghanistan Freedom Front Claims Responsibility for Killing Four Taliban Fighters in Kapisa Province"";""Hasht e Subh Daily,2023-10-21,Rocket Attack Targets Hes-e Awal Kohistan District’s Building in Kapisa Province""",AFF;Hasht e Subh Daily;Hasht e Subh Daily,2023-10-21;2023-10-23;2023-10-21,Killed and injured five Taliban in Kapisa!;Afghanistan Freedom Front Claims Responsibility for Killing Four Taliban Fighters in Kapisa Province;Rocket Attack Targets Hes-e Awal Kohistan District’s Building in Kapisa Province,AFF; Residents,2,Hisa-i-Awali Kohistan district,Hese Awal-e Kohistan district building in Kapisa province,Kapisa province,Hisa-i-Awali Kohistan district,35.137517,69.344440,POINT (69.34444 35.137517),180499,Afghanistan,700,Asia,1,1,2023-10-20 00:00:00.000,2023-10-20 00:00:00.000,0,0,0,0,0,2,0,700,
