,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe
2024-05-31,47,0,0,5,0,0,0,0,0,0,10,0,8,0,0,0,0,149,840,26,0,42,0,9,6,0,104,0,0,0,0,279,32,0,0,0,94,0,0,0,0,0,2,0,0,0,5,10,50,8,0,15,1397,0,0,2,0,7,0,0,0,0,54,0,0,0,0,0,225,0,0,416,0,0,52,355,0,0,0,0,132,234,0,141,0,12,0,0,17,0,0,0,99,0,0,0,0,0,0,72,5,11,0,0,447,0,163,0,2,8,0,0,0,1,0,4213,0,0,1,0,2,67,0,0
2024-06-30,15,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,205,642,5,0,29,0,65,0,0,87,0,0,0,0,383,12,0,0,0,221,1,0,0,0,0,4,0,0,0,9,0,51,8,4,30,1765,0,0,1,0,46,0,0,0,0,43,0,0,3,0,0,130,0,0,423,0,0,8,267,0,0,0,0,148,135,0,115,0,0,0,0,17,0,0,0,93,0,0,1,0,0,0,280,22,17,0,0,713,0,169,0,0,3,12,0,1,10,0,4000,0,0,1,0,2,41,0,0
2024-07-31,17,0,5,0,0,0,0,0,0,0,23,0,12,0,0,0,0,165,276,8,0,36,0,50,4,0,68,0,0,0,0,433,25,0,0,0,131,0,0,0,0,0,7,0,0,0,27,1,61,5,5,41,1980,0,0,2,0,21,0,0,0,0,50,0,1,3,0,0,224,0,1,377,0,0,4,236,0,0,0,0,153,179,0,211,0,28,0,0,7,0,0,0,41,0,0,0,0,0,0,289,3,4,0,0,468,1,122,0,0,2,13,0,0,8,0,5034,0,0,1,0,4,38,0,0
2024-08-31,16,0,0,0,0,0,0,0,0,0,339,0,2,0,0,0,0,134,602,9,0,35,0,42,19,0,63,0,0,0,0,179,52,0,0,0,156,0,0,0,3,0,3,0,0,0,24,0,22,3,1,41,1141,0,0,1,0,7,0,0,0,0,44,0,0,0,0,0,136,0,0,424,0,0,4,213,0,0,0,0,56,424,0,249,0,0,0,0,16,0,0,0,609,0,0,0,0,0,0,163,0,25,0,0,467,2,148,0,0,2,3,0,0,8,2,4997,0,0,0,0,4,40,0,0
2024-09-30,45,0,0,0,0,0,0,0,0,0,19,0,6,0,0,0,0,139,36,3,0,30,0,35,2,0,62,0,0,0,0,181,20,0,0,0,141,0,0,0,0,0,0,0,0,0,1,0,44,6,6,31,1394,0,0,1,3,13,0,0,0,0,1247,0,0,0,0,0,163,0,0,464,0,0,21,176,0,0,0,0,108,243,0,181,0,36,0,0,13,0,0,0,740,0,0,0,0,0,0,104,1,0,0,0,552,0,200,0,1,0,0,0,0,3,1,5271,0,0,0,0,3,26,0,0
2024-10-31,15,0,1,0,0,0,0,0,0,0,17,0,4,0,0,0,0,136,110,6,0,45,0,33,59,0,85,0,0,0,0,156,40,0,0,0,378,0,0,0,0,0,0,0,0,0,190,0,80,2,26,67,2132,0,0,0,0,24,1,0,0,0,1202,0,0,0,0,0,90,0,0,456,0,0,51,281,0,0,0,0,10,366,0,213,0,10,0,0,18,0,0,0,1931,0,0,0,0,0,0,280,10,24,0,0,1333,0,225,0,0,1,30,0,0,6,0,4343,0,0,0,0,1,6,0,0
2024-11-30,17,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,138,163,4,0,24,0,21,113,0,104,0,0,0,0,51,17,0,0,0,186,0,0,0,0,0,0,0,0,0,50,0,40,7,31,28,1782,0,0,0,0,5,0,0,0,0,1104,0,0,0,0,0,109,0,0,303,0,0,79,155,0,0,0,0,22,366,0,281,0,0,0,0,8,0,0,0,2449,0,0,0,0,2,0,106,1,0,0,0,736,0,630,0,3,2,3,0,0,0,0,3943,0,0,1,0,1,17,0,0
2024-12-31,88,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,147,37,2,0,42,0,24,51,0,81,0,0,0,0,251,60,0,0,0,80,0,0,0,0,3,0,0,0,0,244,3,36,14,6,19,1780,0,0,0,0,3,1,0,0,0,75,0,0,0,0,0,138,0,0,278,0,0,150,178,0,0,0,0,312,236,0,255,0,0,0,0,13,0,0,0,1412,0,0,0,0,0,0,161,1,0,0,0,660,0,886,0,0,2,0,6,0,0,1,5533,0,0,0,0,1,63,0,0
2025-01-31,14,0,0,0,0,0,0,0,0,0,2,0,28,0,0,0,0,109,145,12,2,34,0,27,24,0,226,0,0,0,0,3699,5,0,0,0,274,0,0,0,0,2,0,0,0,0,75,3,74,8,0,36,1059,0,0,1,0,13,0,0,0,0,57,0,0,0,0,2,144,0,0,485,0,7,46,240,0,0,0,0,16,613,0,239,0,2,0,0,13,0,0,0,1086,5,0,0,0,0,0,114,6,0,0,0,809,1,531,0,0,5,3,0,0,0,0,4589,0,0,0,1,0,56,0,0
2025-02-28,25,0,0,0,0,0,0,0,4,0,6,1,15,0,0,0,0,80,125,17,0,30,0,96,4,0,28,0,0,0,0,483,2,0,0,0,106,2,0,0,0,0,1,0,0,0,40,0,74,1,1,18,43,0,0,1,0,21,3,0,0,0,21,0,1,0,0,0,202,0,0,238,0,0,41,165,0,0,0,0,109,383,0,258,0,3,0,0,14,0,0,0,734,0,0,0,0,0,0,640,53,35,0,0,1002,2,265,7,0,4,0,0,0,0,0,4695,0,0,0,0,0,64,0,0
