,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe,Ireland,Belize,Costa Rica,Taiwan,Chile,Montenegro,Oman,Greece
2024-03-31,56.0,,0.0,1.0,4.0,,,,,,3.0,,7.0,,,,,126.0,323.0,7.0,,36.0,,78.0,,0.0,54.0,,,,,169.0,20.0,,,,220.0,0.0,,,0.0,0.0,0.0,3.0,,,119.0,0.0,32.0,,2.0,23.0,2512.0,,,0.0,0.0,11.0,0.0,,,,42.0,,1.0,0.0,,,,,0.0,330.0,,,27.0,228.0,,,,,73.0,811.0,,113.0,,0.0,,,14.0,,,,212.0,,,,,0.0,,294.0,2.0,19.0,,,196.0,0.0,373.0,,0.0,4.0,16.0,0.0,0.0,1.0,3.0,,,,1.0,,7.0,56.0,,,,1.0,3.0,,0.0,0.0,0.0,0.0
2024-04-30,14.0,,0.0,0.0,0.0,,,,,,5.0,,11.0,,,,,111.0,101.0,0.0,,65.0,,54.0,,0.0,71.0,,,,,242.0,2.0,,,,142.0,1.0,,,0.0,0.0,0.0,0.0,,,26.0,0.0,75.0,,41.0,21.0,1685.0,,,0.0,0.0,15.0,0.0,,,,15.0,,0.0,0.0,,,,,0.0,396.0,,,37.0,114.0,,,,,85.0,1194.0,,136.0,,0.0,,,30.0,,,,19.0,,,,,0.0,,228.0,2.0,2.0,,,227.0,1.0,205.0,,0.0,7.0,0.0,0.0,0.0,1.0,2.0,,,,4.0,,1.0,66.0,,,,0.0,3.0,,3.0,0.0,0.0,0.0
2024-05-31,43.0,,0.0,5.0,0.0,,,,,,10.0,,8.0,,,,,120.0,541.0,26.0,,47.0,,7.0,,0.0,96.0,,,,,295.0,25.0,,,,42.0,0.0,,,0.0,0.0,0.0,0.0,,,5.0,8.0,50.0,,0.0,12.0,1328.0,,,2.0,0.0,7.0,0.0,,,,52.0,,0.0,0.0,,,,,0.0,404.0,,,40.0,279.0,,,,,118.0,619.0,,148.0,,12.0,,,17.0,,,,112.0,,,,,0.0,,67.0,5.0,5.0,,,332.0,0.0,163.0,,0.0,8.0,0.0,0.0,0.0,1.0,0.0,,,,3.0,,2.0,60.0,,,,2.0,7.0,,0.0,0.0,0.0,0.0
2024-06-30,17.0,,0.0,0.0,0.0,,,,,,9.0,,7.0,,,,,148.0,550.0,5.0,,29.0,,45.0,,0.0,65.0,,,,,365.0,0.0,,,,206.0,3.0,,,0.0,0.0,15.0,0.0,,,35.0,0.0,53.0,,4.0,14.0,1755.0,,,1.0,0.0,46.0,0.0,,,,38.0,,0.0,2.0,,,,,0.0,386.0,,,8.0,262.0,,,,,149.0,643.0,,115.0,,2.0,,,18.0,,,,89.0,,,,,0.0,,280.0,22.0,17.0,,,689.0,0.0,165.0,,0.0,5.0,13.0,0.0,1.0,0.0,0.0,,,,0.0,,1.0,23.0,,,,0.0,2.0,,0.0,2.0,0.0,0.0
2024-07-31,10.0,,5.0,0.0,0.0,,,,,,58.0,,12.0,,,,,123.0,265.0,8.0,,36.0,,49.0,,0.0,61.0,,,,,426.0,5.0,,,,130.0,0.0,,,0.0,0.0,5.0,0.0,,,4.0,1.0,63.0,,2.0,25.0,2053.0,,,0.0,0.0,21.0,0.0,,,,48.0,,1.0,3.0,,,,,1.0,327.0,,,7.0,230.0,,,,,153.0,421.0,,211.0,,28.0,,,10.0,,,,39.0,,,,,0.0,,304.0,3.0,0.0,,,454.0,1.0,119.0,,0.0,2.0,9.0,0.0,0.0,0.0,5.0,,,,1.0,,3.0,13.0,,,,0.0,3.0,,9.0,0.0,9.0,0.0
2024-08-31,18.0,,0.0,0.0,0.0,,,,,,360.0,,2.0,,,,,115.0,508.0,12.0,,36.0,,42.0,,0.0,59.0,,,,,144.0,0.0,,,,153.0,0.0,,,3.0,0.0,0.0,0.0,,,27.0,0.0,28.0,,1.0,29.0,1130.0,,,1.0,0.0,15.0,0.0,,,,31.0,,0.0,0.0,,,,,0.0,422.0,,,4.0,190.0,,,,,58.0,600.0,,250.0,,0.0,,,17.0,,,,228.0,,,,,0.0,,152.0,2.0,0.0,,,461.0,2.0,148.0,,0.0,4.0,3.0,0.0,0.0,0.0,2.0,,,,0.0,,3.0,38.0,,,,1.0,0.0,,0.0,0.0,0.0,0.0
2024-09-30,44.0,,0.0,0.0,0.0,,,,,,19.0,,4.0,,,,,92.0,36.0,3.0,,31.0,,35.0,,0.0,47.0,,,,,131.0,0.0,,,,120.0,0.0,,,0.0,0.0,0.0,0.0,,,2.0,0.0,49.0,,6.0,28.0,1371.0,,,0.0,3.0,18.0,0.0,,,,1234.0,,0.0,0.0,,,,,0.0,454.0,,,21.0,170.0,,,,,86.0,367.0,,181.0,,36.0,,,13.0,,,,275.0,,,,,0.0,,112.0,3.0,0.0,,,468.0,0.0,193.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0,,3.0,28.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0
2024-10-31,14.0,,1.0,0.0,0.0,,,,,,17.0,,4.0,,,,,97.0,53.0,6.0,,46.0,,38.0,,0.0,70.0,,,,,69.0,0.0,,,,223.0,0.0,,,0.0,0.0,0.0,0.0,,,39.0,0.0,80.0,,285.0,64.0,2129.0,,,0.0,0.0,0.0,1.0,,,,1214.0,,0.0,0.0,,,,,0.0,447.0,,,32.0,273.0,,,,,10.0,379.0,,210.0,,10.0,,,18.0,,,,1896.0,,,,,0.0,,280.0,10.0,24.0,,,953.0,0.0,217.0,,0.0,1.0,30.0,0.0,0.0,6.0,0.0,,,,0.0,,1.0,6.0,,,,0.0,0.0,,0.0,0.0,0.0,1.0
2024-11-30,17.0,,0.0,0.0,0.0,,,,,,7.0,,1.0,,,,,133.0,163.0,4.0,,24.0,,22.0,,43.0,102.0,,,,,50.0,15.0,,,,186.0,0.0,,,0.0,0.0,0.0,0.0,,,50.0,0.0,45.0,,31.0,26.0,1783.0,,,0.0,0.0,5.0,0.0,,,,1104.0,,0.0,0.0,,,,,0.0,302.0,,,76.0,154.0,,,,,12.0,413.0,,281.0,,11.0,,,14.0,,,,2444.0,,,,,2.0,,106.0,2.0,0.0,,,735.0,0.0,633.0,,3.0,6.0,3.0,0.0,0.0,0.0,0.0,,,,1.0,,1.0,17.0,,,,0.0,0.0,,0.0,2.0,0.0,0.0
2024-12-31,88.0,,0.0,0.0,0.0,,,,,,0.0,,15.0,,,,,147.0,37.0,2.0,,42.0,,24.0,,0.0,81.0,,,,,251.0,60.0,,,,80.0,0.0,,,0.0,3.0,0.0,0.0,,,244.0,3.0,36.0,,6.0,19.0,1780.0,,,0.0,0.0,3.0,1.0,,,,75.0,,0.0,0.0,,,,,0.0,278.0,,,150.0,178.0,,,,,312.0,236.0,,255.0,,0.0,,,13.0,,,,1412.0,,,,,0.0,,161.0,1.0,0.0,,,660.0,0.0,886.0,,0.0,2.0,0.0,6.0,0.0,0.0,1.0,,,,0.0,,1.0,63.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0
